customer_id,job_category,last_booking_date,days_since_last_booking,churn_threshold,is_churned
1489,occasional_visitor,2022-11-11,1216,365,1
4790,business_traveler,2025-11-03,128,180,0
273,business_traveler,2026-01-19,51,180,0
3936,occasional_visitor,2022-10-03,1255,365,1
2574,vacation_traveler,2025-12-18,83,90,0
951,business_traveler,2025-12-09,92,180,0
4326,vacation_traveler,2025-11-22,109,90,1
2614,occasional_visitor,2025-06-07,277,365,0
2520,vacation_traveler,2025-09-06,186,90,1
2466,vacation_traveler,2026-03-01,10,90,0
2196,vacation_traveler,2025-10-25,137,90,1
4321,vacation_traveler,2025-11-20,111,90,1
1750,vacation_traveler,2026-01-17,53,90,0
176,occasional_visitor,2024-07-15,604,365,1
576,vacation_traveler,2025-10-30,132,90,1
4683,vacation_traveler,2025-08-26,197,90,1
4993,business_traveler,2025-12-19,82,180,0
4976,business_traveler,2026-01-06,64,180,0
1003,occasional_visitor,2025-08-09,214,365,0
292,business_traveler,2026-03-09,2,180,0
1331,business_traveler,2026-02-25,14,180,0
2784,business_traveler,2025-07-31,223,180,1
663,vacation_traveler,2026-02-05,34,90,0
1552,business_traveler,2026-02-25,14,180,0
1589,business_traveler,2026-02-06,33,180,0
3725,vacation_traveler,2026-02-05,34,90,0
1811,business_traveler,2026-02-23,16,180,0
2204,vacation_traveler,2026-01-22,48,90,0
1373,vacation_traveler,2026-02-15,24,90,0
764,business_traveler,2025-11-28,103,180,0
556,vacation_traveler,2025-11-18,113,90,1
2469,occasional_visitor,2024-10-17,510,365,1
3762,business_traveler,2026-02-16,23,180,0
4116,vacation_traveler,2026-02-04,35,90,0
1268,vacation_traveler,2025-11-15,116,90,1
2749,business_traveler,2025-12-04,97,180,0
3641,occasional_visitor,2024-02-25,745,365,1
173,occasional_visitor,2024-08-16,572,365,1
4221,occasional_visitor,2025-05-16,299,365,0
2276,vacation_traveler,2025-11-06,125,90,1
876,occasional_visitor,2025-02-23,381,365,1
161,vacation_traveler,2025-11-21,110,90,1
4813,vacation_traveler,2026-01-18,52,90,0
3202,business_traveler,2026-02-18,21,180,0
113,vacation_traveler,2026-01-09,61,90,0
2172,vacation_traveler,2024-11-27,469,90,1
2983,business_traveler,2026-01-15,55,180,0
1595,vacation_traveler,2025-11-19,112,90,1
3097,vacation_traveler,2025-01-22,413,90,1
4519,occasional_visitor,2024-03-17,724,365,1
4611,vacation_traveler,2025-12-25,76,90,0
4095,business_traveler,2026-01-10,60,180,0
4289,business_traveler,2026-03-01,10,180,0
2990,vacation_traveler,2025-12-26,75,90,0
815,business_traveler,2026-02-26,13,180,0
1422,business_traveler,2026-02-20,19,180,0
3150,vacation_traveler,2026-03-07,4,90,0
2054,vacation_traveler,2026-01-05,65,90,0
1004,business_traveler,2026-02-15,24,180,0
2702,occasional_visitor,2022-07-25,1325,365,1
3837,occasional_visitor,2025-08-26,197,365,0
3071,business_traveler,2025-12-20,81,180,0
2404,occasional_visitor,2024-05-11,669,365,1
57,vacation_traveler,2026-02-24,15,90,0
1313,vacation_traveler,2025-02-15,389,90,1
19,vacation_traveler,2026-01-28,42,90,0
4452,business_traveler,2026-02-21,18,180,0
2721,business_traveler,2026-01-17,53,180,0
3834,business_traveler,2026-02-21,18,180,0
824,vacation_traveler,2024-12-26,440,90,1
3460,vacation_traveler,2026-01-06,64,90,0
1262,business_traveler,2025-09-05,187,180,1
357,vacation_traveler,2025-10-23,139,90,1
2366,vacation_traveler,2026-03-07,4,90,0
4634,occasional_visitor,2025-09-24,168,365,0
769,vacation_traveler,2026-01-01,69,90,0
266,occasional_visitor,2025-02-08,396,365,1
2543,occasional_visitor,2026-02-06,33,365,0
4669,occasional_visitor,2023-05-15,1031,365,1
1550,business_traveler,2025-12-25,76,180,0
1287,business_traveler,2026-03-07,4,180,0
3855,business_traveler,2026-01-22,48,180,0
3840,business_traveler,2026-03-06,5,180,0
366,business_traveler,2025-09-05,187,180,1
307,business_traveler,2026-01-05,65,180,0
3199,occasional_visitor,2026-01-08,62,365,0
4078,vacation_traveler,2025-09-01,191,90,1
91,business_traveler,2026-01-07,63,180,0
305,business_traveler,2025-12-16,85,180,0
743,occasional_visitor,2024-11-05,491,365,1
1484,business_traveler,2026-01-16,54,180,0
3986,vacation_traveler,2026-01-19,51,90,0
10,occasional_visitor,2025-09-05,187,365,0
1940,business_traveler,2026-02-22,17,180,0
4643,occasional_visitor,2022-12-19,1178,365,1
3068,occasional_visitor,2025-06-04,280,365,0
3582,vacation_traveler,2024-08-08,580,90,1
2636,vacation_traveler,2025-11-01,130,90,1
1602,vacation_traveler,2026-01-16,54,90,0
2773,vacation_traveler,2025-01-21,414,90,1
2544,vacation_traveler,2025-07-02,252,90,1
823,occasional_visitor,2024-07-03,616,365,1
3494,business_traveler,2026-01-09,61,180,0
4356,occasional_visitor,2023-10-16,877,365,1
4314,vacation_traveler,2026-02-24,15,90,0
50,vacation_traveler,2026-02-20,19,90,0
4754,vacation_traveler,2026-01-29,41,90,0
13,vacation_traveler,2026-01-03,67,90,0
4689,occasional_visitor,2024-04-19,691,365,1
1319,vacation_traveler,2024-10-24,503,90,1
4197,business_traveler,2026-01-21,49,180,0
4579,business_traveler,2025-10-17,145,180,0
2,business_traveler,2026-02-12,27,180,0
2770,vacation_traveler,2026-02-08,31,90,0
1603,occasional_visitor,2025-10-24,138,365,0
246,vacation_traveler,2026-01-23,47,90,0
3735,vacation_traveler,2026-02-19,20,90,0
1942,occasional_visitor,2025-06-22,262,365,0
4474,business_traveler,2026-02-16,23,180,0
2857,occasional_visitor,2025-05-04,311,365,0
3497,vacation_traveler,2025-02-02,402,90,1
2799,business_traveler,2026-03-10,1,180,0
2140,occasional_visitor,2026-01-18,52,365,0
1522,business_traveler,2026-03-08,3,180,0
1967,vacation_traveler,2025-10-27,135,90,1
355,business_traveler,2026-02-22,17,180,0
2575,vacation_traveler,2025-11-01,130,90,1
3442,business_traveler,2026-03-06,5,180,0
4635,business_traveler,2025-11-02,129,180,0
2952,occasional_visitor,2023-02-26,1109,365,1
3755,vacation_traveler,2026-01-01,69,90,0
2742,vacation_traveler,2025-12-26,75,90,0
1006,vacation_traveler,2026-01-22,48,90,0
4773,vacation_traveler,2025-08-31,192,90,1
2683,occasional_visitor,2025-10-02,160,365,0
3046,business_traveler,2026-03-03,8,180,0
453,vacation_traveler,2026-02-08,31,90,0
2099,business_traveler,2026-03-07,4,180,0
3530,business_traveler,2026-02-10,29,180,0
182,vacation_traveler,2025-03-12,364,90,1
1950,business_traveler,2026-03-06,5,180,0
528,occasional_visitor,2025-09-09,183,365,0
4351,business_traveler,2025-12-21,80,180,0
1549,occasional_visitor,2025-10-12,150,365,0
3463,occasional_visitor,2025-09-11,181,365,0
1474,vacation_traveler,2025-08-05,218,90,1
