customer_id,job_category,age,recency_days,frequency_total_bookings,frequency_cancelled_bookings,frequency_noshow_bookings,monetary_total_spent,monetary_avg_per_booking,monetary_max_booking,total_nights_stayed,avg_nights_per_stay,cancellation_rate,monetary_avg_per_night,frequency_bookings_per_year
1489,occasional_visitor,31,1216.0,2,0,0,2007.47,1003.735,1284.71,11,5.5,0.0,182.48068357422054,0.5
4790,business_traveler,68,128.0,48,7,2,25030.430000000004,521.4672916666667,1774.8,123,2.5625,0.12280486307257768,203.49777644084196,12.0
273,business_traveler,47,7.0,58,8,3,28368.339999999997,489.1093103448275,1557.06,148,2.5517241379310347,0.11594034869059867,191.67667786028468,14.5
3936,occasional_visitor,24,573.0,1,0,1,827.22,827.22,827.22,6,6.0,0.0,137.8470254957507,0.25
2574,vacation_traveler,42,26.0,8,3,3,7629.57,953.69625,1617.63,48,6.0,0.2142704092564817,158.94606362367452,2.0
951,business_traveler,61,92.0,26,3,2,16762.67,644.7180769230769,2143.41,78,3.0,0.09677107190090642,214.90327047089136,6.5
4326,vacation_traveler,66,109.0,12,0,3,15136.32,1261.36,2781.28,83,6.916666666666667,0.0,182.36310405898723,3.0
2614,occasional_visitor,44,277.0,3,0,0,2277.94,759.3133333333334,1264.16,16,5.333333333333333,0.0,142.36235235297792,0.75
2520,vacation_traveler,25,186.0,7,0,1,6656.42,950.9171428571428,2180.5,47,6.714285714285714,0.0,141.62294419267675,1.75
2466,vacation_traveler,28,10.0,12,1,0,11288.250000000002,940.6875000000001,1455.02,69,5.75,0.07691716021844473,163.59545513833135,3.0
2196,vacation_traveler,32,20.0,13,1,2,17221.72,1324.7476923076924,3392.96,83,6.384615384615385,0.06249609399412536,207.4881025529813,3.25
4321,vacation_traveler,54,111.0,18,2,1,17098.81,949.933888888889,1699.43,104,5.777777777777778,0.09523356030665206,164.41005374948318,4.5
1750,vacation_traveler,28,53.0,17,1,0,18554.649999999998,1091.4499999999998,2910.06,111,6.529411764705882,0.0555524693072607,167.15750308555775,4.25
176,occasional_visitor,32,392.0,2,1,0,1452.04,726.02,968.47,11,5.5,0.33322225924691773,131.99163712389782,0.5
576,vacation_traveler,60,4.0,10,1,1,10520.79,1052.0790000000002,1711.72,62,6.2,0.08332638946754438,169.68742439638072,2.5
4683,vacation_traveler,45,195.0,14,2,1,15887.18,1134.7985714285714,2434.73,84,6.0,0.1176401388153638,189.13084368043238,3.5
4993,business_traveler,21,48.0,31,5,1,15235.03,491.45258064516133,1481.56,84,2.7096774193548385,0.1351314829328937,181.36724562802823,7.75
4976,business_traveler,72,64.0,44,4,2,18554.820000000003,421.70045454545465,2079.6,112,2.5454545454545454,0.07999840003199936,165.66655654860227,11.0
1003,occasional_visitor,29,214.0,3,0,1,3063.46,1021.1533333333333,1392.27,15,5.0,0.0,204.21705219652023,0.75
292,business_traveler,26,2.0,49,6,3,30599.61,624.4818367346938,2104.48,142,2.8979591836734695,0.10344649230185687,215.48869374159338,12.25
1331,business_traveler,74,14.0,32,2,4,22627.3,707.103125,2519.95,105,3.28125,0.05263019394226468,215.49604289482954,8.0
2784,business_traveler,60,223.0,30,2,1,16143.930000000002,538.1310000000001,1356.6,93,3.1,0.06060422411442078,173.58877861528373,7.5
663,vacation_traveler,34,34.0,8,0,2,9716.320000000002,1214.5400000000002,2735.53,52,6.5,0.0,186.84871444779913,2.0
